+------------------------+-----------+--------------+----------+----------+---------+------------+-------+----------+----------+-------------+--------+----------+----------+--------+---------+---------+--------+----------+----------+---------------+
| Name                   | Obsid     | Mem_Match_ID | RA_RM    | Dec_RM   | lambda  | lambda_err | z     | RA_pk    | Dec_pk   | 500_kpc_SNR | Tr2500 | Tr2500_m | Tr2500_p | Tr500  | Tr500_m | Tr500_p | Lr2500 | Lr2500_m | Lr2500_p | serendipitous |
| RMJ0133029.0-643407.66 | 762800301 | 223          | 23.3709  | -64.5688 | 111.121 | 6.901      | 0.322 | 23.3605  | -64.5689 | 24.01       | 6.205  | 0.352    | 0.356    | 6.517  | 0.395   | 0.455   | 1.908  | 0.036    | 0.033    | 0             |
| RMJ003428.15+022522.71 | 650380501 | 225          | 8.6173   | 2.423    | 100.229 | 5.156      | 0.399 | 8.6135   | 2.4221   | 26.816      | 6.155  | 0.439    | 0.448    | 6.844  | 0.551   | 0.733   | 4.011  | 0.089    | 0.09     | 0             |
| RMJ063845.16-535822.57 | 650860101 | 230          | 99.6882  | -53.9729 | 96.37   | 6.164      | 0.245 | 99.7036  | -53.9755 | 154.706     | 7.526  | 0.08     | 0.08     | 7.709  | 0.108   | 0.108   | 6.538  | 0.019    | 0.017    | 0             |
| RMJ023201.16-442230.95 | 42340301  | 234          | 38.0048  | -44.3753 | 117.468 | 6.607      | 0.279 | 38.079   | -44.3481 | 61.99       | 6.391  | 0.12     | 0.122    | 6.091  | 0.126   | 0.126   | 5.641  | 0.036    | 0.037    | 1             |
| RMJ030702.06-283957.33 | 42340501  | 245          | 46.7586  | -28.6659 | 102.579 | 4.378      | 0.252 | 46.7603  | -28.668  | 57.375      | 6.198  | 0.138    | 0.14     | 6.36   | 0.154   | 0.154   | 3.303  | 0.024    | 0.022    | 0             |
| RMJ025708.76-232605.17 | 551850201 | 259          | 44.2865  | -23.4348 | 102.335 | 4.598      | 0.505 | 44.2877  | -23.4359 | 61.501      | 7.731  | 0.161    | 0.162    | 7.477  | 0.199   | 0.2     | 5.802  | 0.039    | 0.036    | 0             |
| RMJ050105.97-242458.97 | 110870101 | 272          | 75.2749  | -24.4164 | 77.423  | 4.034      | 0.321 | 75.2866  | -24.4213 | 28.906      | 4.593  | 0.29     | 0.291    | 3.955  | 0.262   | 0.266   | 0.454  | 0.009    | 0.009    | 0             |
| RMJ212437.83-612427.73 | 674490701 | 319          | 321.1576 | -61.4077 | 91.809  | 4.477      | 0.442 | 321.1456 | -61.4138 | 22.605      | 5.574  | 0.358    | 0.413    | 5.224  | 0.35    | 0.441   | 1.328  | 0.031    | 0.031    | 0             |
| RMJ024038.35-594548.90 | 674490101 | 348          | 40.1598  | -59.7636 | 79.65   | 3.714      | 0.407 | 40.1617  | -59.7699 | 24.296      | 6.667  | 0.292    | 0.57     | 6.631  | 0.379   | 0.839   | 2.324  | 0.035    | 0.038    | 0             |
| RMJ0210056.4-061154.29 | 677670135 | 365          | 32.735   | -6.1984  | 85.234  | 3.914      | 0.428 | 32.7366  | -6.201   | 11.295      | 4.009  | 0.714    | 1.079    | 3.435  | 0.423   | 0.74    | 0.282  | 0.02     | 0.022    | 1             |
| RMJ233227.47-535827.93 | 604010101 | 370          | 353.1145 | -53.9744 | 85.127  | 3.665      | 0.417 | 353.1161 | -53.9748 | 28.149      | 6.96   | 0.328    | 0.364    | 6.779  | 0.316   | 0.428   | 2.428  | 0.032    | 0.032    | 0             |
| RMJ213056.21-645840.32 | 692900101 | 436          | 322.7342 | -64.9779 | 83.022  | 4.441      | 0.315 | 322.7379 | -64.9795 | 20.433      | 5.202  | 0.288    | 0.312    | 4.857  | 0.353   | 0.358   | 1.333  | 0.029    | 0.027    | 0             |
| RMJ0017037.6-005241.84 | 403760701 | 500          | 4.4067   | -0.8783  | 61.802  | 2.744      | 0.208 | 4.4065   | -0.8796  | 52.57       | 4.176  | 0.106    | 0.107    | 4.142  | 0.152   | 0.153   | 0.569  | 0.005    | 0.006    | 1             |
| RMJ015334.32-011808.59 | 762870401 | 516          | 28.393   | -1.3024  | 90.939  | 5.793      | 0.244 | 28.3944  | -1.3045  | 57.564      | 5.64   | 0.171    | 0.173    | 5.238  | 0.139   | 0.139   | 1.141  | 0.01     | 0.009    | 0             |
| RMJ212939.96+000521.33 | 93030201  | 528          | 322.4165 | 0.0893   | 76.584  | 5.146      | 0.244 | 322.4184 | 0.0875   | 138.975     | 5.33   | 0.04     | 0.04     | 5.255  | 0.045   | 0.045   | 5.305  | 0.016    | 0.015    | 0             |
| RMJ2031047.8-403654.60 | 690170701 | 559          | 307.9492 | -40.6152 | 96.507  | 7.789      | 0.348 | 307.9703 | -40.6243 | 42.448      | 8.03   | 0.251    | 0.253    | 7.537  | 0.301   | 0.302   | 4.213  | 0.04     | 0.039    | 0             |
| RMJ035413.41-590511.23 | 724770501 | 583          | 58.5559  | -59.0865 | 69.43   | 3.047      | 0.409 | 58.5571  | -59.0862 | 29.681      | 5.001  | 0.277    | 0.281    | 4.729  | 0.341   | 0.346   | 0.958  | 0.019    | 0.02     | 0             |
| RMJ021226.98-053735.48 | 677650133 | 607          | 33.1124  | -5.6265  | 68.56   | 3.698      | 0.311 | 33.1122  | -5.6283  | 15.54       | 4.776  | 0.57     | 0.592    | 3.904  | 0.7     | 0.982   | 0.497  | 0.019    | 0.02     | 1             |
| RMJ052215.58-481817.53 | 303820101 | 629          | 80.5649  | -48.3049 | 84.715  | 4.732      | 0.307 | 80.5673  | -48.3064 | 29.767      | 3.954  | 0.151    | 0.153    | 4.159  | 0.204   | 0.27    | 1.175  | 0.019    | 0.017    | 0             |
| RMJ234105.46-571603.84 | 803050301 | 878          | 355.2727 | -57.2677 | 66.806  | 3.487      | 0.448 | 355.2744 | -57.2703 | 42.809      | 4.085  | 0.204    | 0.207    | 3.637  | 0.242   | 0.244   | 0.513  | 0.01     | 0.01     | 1             |
| RMJ034301.95-551840.06 | 724770801 | 948          | 55.7581  | -55.3111 | 58.675  | 2.92       | 0.547 | 55.7582  | -55.3119 | 18.958      | 6.816  | 0.488    | 0.639    | 5.912  | 0.618   | 0.672   | 1.257  | 0.033    | 0.032    | 0             |
| RMJ023941.67-012811.44 | 782150101 | 960          | 39.9236  | -1.4698  | 21.575  | 3.466      | 0.329 | 39.9233  | -1.4728  | 29.161      | 2.565  | 0.216    | 0.237    | 3.246  | 0.385   | 0.575   | 0.153  | 0.006    | 0.005    | 0             |
| RMJ020528.22-054356.62 | 677660237 | 977          | 31.3676  | -5.7324  | 58.095  | 3.057      | 0.301 | 31.3515  | -5.7349  | 17.136      | 3.491  | 0.382    | 0.458    | 3.922  | 0.628   | 0.992   | 0.272  | 0.012    | 0.011    | 1             |
| RMJ011443.29-412356.67 | 724770901 | 1057         | 18.6804  | -41.3991 | 75.303  | 4.36       | 0.376 | 18.6815  | -41.4007 | 29.492      | 7.019  | 0.361    | 0.42     | 6.343  | 0.32    | 0.323   | 2.009  | 0.028    | 0.029    | 0             |
| RMJ213003.99-002107.92 | 729160501 | 1108         | 322.5166 | -0.3522  | 50.33   | 2.805      | 0.236 | 322.5188 | -0.3528  | 17.926      | 2.554  | 0.185    | 0.2      | 5.854  | 2.833   | 12.443  | 0.184  | 0.006    | 0.006    | 1             |
| RMJ031715.84-593529.06 | 724770401 | 1156         | 49.316   | -59.5914 | 59.377  | 3.635      | 0.47  | 49.3194  | -59.5925 | 20.6        | 5.255  | 0.222    | 0.236    | 5.252  | 0.278   | 0.329   | 1.575  | 0.027    | 0.026    | 0             |
| RMJ202209.84-632349.48 | 674490601 | 1252         | 305.541  | -63.3971 | 61.07   | 3.669      | 0.389 | 305.542  | -63.3976 | 23.616      | nan    | nan      | nan      | 4.343  | 0.397   | 0.57    | nan    | nan      | nan      | nan           |
| RMJ024518.28-531506.32 | 652950301 | 1158         | 41.3262  | -53.2518 | 39.194  | 3.372      | 0.294 | 41.3292  | -53.2525 | 10.85       | 2.07   | 0.391    | 0.562    | nan    | nan     | nan     | 0.099  | 0.011    | 0.017    | 1             |
| RMJ231721.65-535741.18 | 677810134 | 1311         | 349.3402 | -53.9614 | 52.771  | 2.837      | 0.385 | 349.3397 | -53.9635 | 16.987      | 3.493  | 0.278    | 0.349    | 4.257  | 0.472   | 0.562   | 0.475  | 0.017    | 0.017    | 1             |
| RMJ034007.29-285038.42 | 653770101 | 1322         | 55.0304  | -28.844  | 68.255  | 4.904      | 0.34  | 55.0229  | -28.8406 | 21.374      | 3.957  | 0.464    | 0.511    | 3.297  | 0.6     | 0.842   | 0.484  | 0.017    | 0.018    | 1             |
| RMJ023106.65-540344.36 | 204530101 | 1441         | 37.7777  | -54.0623 | 55.044  | 3.022      | 0.612 | 37.7804  | -54.0639 | 23.413      | 5.327  | 0.367    | 0.682    | 5.226  | 0.563   | 0.718   | 1.218  | 0.038    | 0.033    | 0             |
| RMJ013727.96-000933.16 | 747430141 | 1506         | 24.3665  | -0.1592  | 51.215  | 2.557      | 0.352 | 24.3694  | -0.1707  | 11          | 3.005  | 0.385    | 0.443    | 3.438  | 0.347   | 0.545   | 0.264  | 0.013    | 0.014    | 1             |
| RMJ014006.28-341038.48 | 650380901 | 1562         | 25.0261  | -34.1774 | 56.875  | 3.168      | 0.4   | 25.0245  | -34.1781 | 27.342      | 6.303  | 0.284    | 0.288    | 6.209  | 0.349   | 0.351   | 4.023  | 0.063    | 0.059    | 0             |
| RMJ021528.22-044041.17 | 404966801 | 1581         | 33.8676  | -4.6781  | 50.681  | 2.703      | 0.353 | 33.8685  | -4.68    | 13.565      | 3.4    | 0.449    | 0.85     | 2.489  | 0.384   | 0.482   | 0.204  | 0.011    | 0.012    | 1             |
| RMJ010619.13-244730.56 | 693010501 | 1596         | 16.5797  | -24.7918 | 58.263  | 3.722      | 0.381 | 16.5722  | -24.7754 | 15.635      | 3.72   | 1.452    | 2.6      | 1.868  | 0.371   | 1.013   | 0.098  | 0.015    | 0.015    | 1             |
| RMJ0106050.4+010356.40 | 762870601 | 1839         | 16.71    | 1.0657   | 49.278  | 2.643      | 0.253 | 16.7075  | 1.0555   | 94.463      | 2.961  | 0.029    | 0.029    | 2.957  | 0.033   | 0.033   | 3.603  | 0.018    | 0.016    | 0             |
| RMJ052215.45-362455.40 | 302580901 | 1861         | 80.5644  | -36.4154 | 53.031  | 3.865      | 0.464 | 80.5666  | -36.4212 | 19.286      | 5.18   | 0.313    | 0.339    | 4.996  | 0.426   | 0.431   | 0.599  | 0.013    | 0.013    | 1             |
| RMJ042226.47-514031.24 | 651580101 | 2096         | 65.6103  | -51.6753 | 60.277  | 4.359      | 0.578 | 65.6102  | -51.6759 | 26.127      | 3.242  | 0.188    | 0.195    | 3.119  | 0.251   | 0.257   | 0.724  | 0.021    | 0.02     | 1             |
| RMJ0357002.8-460300.07 | 652450101 | 2104         | 59.2616  | -46.05   | 43.45   | 2.228      | 0.424 | 59.2706  | -46.0512 | 16.393      | 3.099  | 0.735    | 1.054    | 2.457  | 0.666   | 1.149   | 0.181  | 0.013    | 0.015    | 1             |
| RMJ231848.91-561711.78 | 677800137 | 2282         | 349.7038 | -56.2866 | 48.256  | 2.817      | 0.542 | 349.7028 | -56.2848 | 10.105      | 3.656  | 0.528    | 0.728    | 4.386  | 1.175   | 2.071   | 0.429  | 0.028    | 0.03     | 1             |
| RMJ050519.22-284854.96 | 111160201 | 2385         | 76.3301  | -28.8153 | 46.684  | 3.004      | 0.507 | 76.3321  | -28.8146 | 16.892      | 3.331  | 0.328    | 0.382    | 3.598  | 0.54    | 0.586   | 0.28   | 0.014    | 0.011    | 0             |
| RMJ044920.76-284908.00 | 650385001 | 2576         | 72.3365  | -28.8189 | 33.733  | 3.165      | 0.343 | 72.3382  | -28.8201 | 21.028      | 3.131  | 0.083    | 0.084    | 3.01   | 0.1     | 0.102   | 2.013  | 0.029    | 0.025    | 0             |
| RMJ031704.91-593805.66 | 724770401 | 2668         | 49.2704  | -59.6349 | 50.712  | 5.026      | 0.259 | 49.3481  | -59.6094 | 15.781      | nan    | nan      | nan      | nan    | nan     | nan     | 0.021  | 0.002    | 0.002    | 1             |
| RMJ232955.93-560808.37 | 677800133 | 2795         | 352.483  | -56.1357 | 52.359  | 4.044      | 0.405 | 352.4837 | -56.139  | 13.514      | 3.46   | 0.332    | 0.468    | 2.766  | 0.33    | 0.402   | 0.21   | 0.009    | 0.01     | 1             |
| RMJ011140.24-453906.81 | 67170101  | 2849         | 17.9177  | -45.6519 | 43.511  | 2.787      | 0.388 | 17.9218  | -45.656  | 11.587      | 3.128  | 0.561    | 0.772    | 4.168  | 1.181   | 1.985   | 0.121  | 0.009    | 0.01     | 1             |
| RMJ020524.98-073540.07 | 677681232 | 2956         | 31.3541  | -7.5945  | 46.212  | 3.037      | 0.435 | 31.3573  | -7.5956  | 9.59        | 2.659  | 0.404    | 0.533    | 2.253  | 0.43    | 0.794   | 0.324  | 0.023    | 0.026    | 1             |
| RMJ0215029.5-053255.10 | 677650131 | 3030         | 33.8729  | -5.5486  | 41.696  | 2.568      | 0.288 | 33.8715  | -5.554   | 14.048      | 2.165  | 0.38     | 0.691    | 2.188  | 0.347   | 0.91    | 0.064  | 0.007    | 0.011    | 1             |
| RMJ025720.93-573254.12 | 674491101 | 3456         | 44.3372  | -57.5484 | 42.001  | 2.867      | 0.426 | 44.3414  | -57.5521 | 18.337      | 5.843  | 0.693    | 0.78     | 4.967  | 0.698   | 0.924   | 0.285  | 0.011    | 0.011    | 0             |
| RMJ234805.56-560125.82 | 677760139 | 3514         | 357.0232 | -56.0238 | 45.495  | 3.145      | 0.425 | 357.0254 | -56.0244 | 9.726       | 3.561  | 0.656    | 0.795    | 2.568  | 0.482   | 0.648   | 0.286  | 0.017    | 0.02     | 1             |
| RMJ021831.82-003858.84 | 762290201 | 3786         | 34.6326  | -0.6497  | 39.194  | 2.384      | 0.426 | 34.6353  | -0.6461  | 18.912      | 4.133  | 0.349    | 0.459    | 3.195  | 0.372   | 0.476   | 0.348  | 0.012    | 0.012    | 1             |
| RMJ010030.24-474922.80 | 554500201 | 3927         | 15.126   | -47.823  | 41.971  | 2.932      | 0.424 | 15.1277  | -47.8241 | 25.958      | 3.328  | 0.217    | 0.302    | 3.149  | 0.284   | 0.299   | 0.472  | 0.015    | 0.014    | 1             |
| RMJ033128.11-382418.43 | 606431401 | 4138         | 52.8671  | -38.4051 | 41.116  | 2.997      | 0.571 | 52.8691  | -38.409  | 11.51       | 3.044  | 0.403    | 0.506    | 3.851  | 0.871   | 1.656   | 0.336  | 0.022    | 0.023    | 1             |
| RMJ022825.84+003202.66 | 652400601 | 4145         | 37.1077  | 0.5341   | 38.126  | 2.598      | 0.419 | 37.1081  | 0.5323   | 22.804      | 3.54   | 0.382    | 0.383    | 3.1    | 0.301   | 0.306   | 0.338  | 0.012    | 0.011    | 1             |
| RMJ0330052.3-381306.55 | 606431401 | 4196         | 52.7179  | -38.2185 | 36.555  | 2.56       | 0.35  | 52.7167  | -38.2217 | 11.988      | 2.738  | 0.335    | 0.59     | nan    | nan     | nan     | 0.184  | 0.013    | 0.016    | 1             |
