name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
DESY3RM-26858,16.7482525982091,0.255137070430301,0.25301817,0.0303,388.72000924913107,46.06090432061033,5.2600076,3.135585567,53.39080266,1.898702137e+42,1.898702137e+42,7.528737581638001e+41,6.368417808e+42,6.36841780624015e+42,8.11972029308314e+42,1.10302664,0.3587201465999999,2.370512139,2.054841309e+42,2.0548413089999904e+42,1.1882064306029502e+42,3.68952017e+42,3.6894978873560603e+42,2.91444067356659e+42
DESY3RM-26966,35.7440638412951,-4.12083395399859,0.29045838,0.0227,373.43347611548376,25.591253264668737,0.9653532844,0.1009985568,0.0843188626000001,8.980371504000002e+41,8.980371504000002e+41,2.4504919843233503e+42,1.515936584e+42,1.515936584e+42,2.7732459629307604e+42,0.9875971027,0.123417411,0.1593522983,1.89658441e+42,1.89658441e+42,1.88777020013837e+42,3.2324284500000003e+42,3.216742095945891e+42,3.62978626082746e+42
DESY3RM-27159,324.420215638955,-63.1365293581439,0.23577873,,,,,,,,,,,,,,,,,,,,,
DESY3RM-27304,89.919159466694,-50.5373059404703,0.20586403,,,,,,,,,,,,,,,,,,,,,
DESY3RM-27519,351.399114168563,-54.7208085807062,0.16512407,0.0103,476.56629342981233,23.806463972032464,1.324272281,0.0929681550000001,0.1590079979999998,4.036117587e+42,8.144908554879601e+41,6.842572138033e+41,7.856455877000001e+42,1.40928730329598e+42,1.9756005239562903e+42,1.342714733,0.104141582,0.223932904,3.450246718000001e+42,4.6559177270001e+41,8.625124507378301e+41,6.765851476e+42,1.5817723336464503e+42,1.8209830980406102e+42
DESY3RM-27744,16.410845319594,0.0448375692237223,0.25951752,,,,,,,,,,,,,,,,,,,,,
DESY3RM-27783,34.6780414780222,-3.83696633128203,0.1577842,0.0192,418.5179527160186,25.474666695578982,1.04431588,0.0907045186,0.1248319579999999,1.7817047050000002e+42,2.7596032170857003e+41,2.3977407661707003e+41,3.134375089e+42,6.0274069140557004e+41,5.430833629561201e+41,1.045927358,0.1860755753999999,0.1681119610000001,1.079579971e+42,3.1935092128514e+41,2.8108091207487005e+41,1.900626934e+42,5.334669389410601e+41,4.149394072869e+41
DESY3RM-28123,40.8081042035731,-50.333726402076,0.27818158,0.0232,429.617817574679,33.4723122265873,1.287401702,0.1701076489999999,0.3669812990000001,5.979464633e+42,2.3893588698878604e+42,1.81262142779107e+42,1.141726694e+43,3.94507317925904e+42,3.599008780211141e+42,1.282704466,0.1785414469999999,0.2360867929999999,5.675814393e+42,2.4762237610202303e+42,1.88722319258257e+42,1.0818406920000001e+43,3.821193190729231e+42,4.62125818371383e+42
DESY3RM-28442,32.5656471352968,-39.6224253436605,0.16203427,0.0129,54.79882522046453,9.735567400405566,,,,,,,,,,,,,,,,,,
DESY3RM-28567,31.8335222665688,-4.82521221966694,0.24586853,0.0177,605.8814331433223,53.13514328814918,2.010543917,0.2971358310000001,0.385142477,1.6060406390000003e+43,2.6224983544272803e+42,3.03284372622752e+42,3.5806061670000006e+43,6.463305671356321e+42,6.36001146575152e+42,2.114011399,0.4181698759999999,0.6930621600000002,1.1587254370000002e+43,2.2289648353564402e+42,2.96707654936831e+42,2.6278516050000004e+43,5.725414752572601e+42,6.344552564804371e+42
DESY3RM-29027,350.161606729922,-41.7959923538511,0.119242825,,,,,,,,,,,,,,,,,,,,,
